Company;Year;Type
SBB;2007;AR-DE
SBB;2008;AR-DE
SBB;2009;AR-DE
SBB;2010;AR-DE
SBB;2011;AR-DE
SBB;2012;AR-DE
SBB;2013;AR-DE
SBB;2014;AR-DE
SBB;2015;AR-DE
SBB;2016;AR-DE
SBB;2017;AR-DE
SBB;2017;GRI-DE
SBB;2018;AR-DE
SBB;2018;FR-DE
SBB;2018;GRI-DE
Schweizerische Nationalbank;2000;AR-DE
Schweizerische Nationalbank;2001;AR-DE
Schweizerische Nationalbank;2002;AR-DE
Schweizerische Nationalbank;2003;AR-DE
Schweizerische Nationalbank;2004;AR-DE
Schweizerische Nationalbank;2005;AR-DE
Schweizerische Nationalbank;2006;AR-DE
Schweizerische Nationalbank;2007;AR-DE
Schweizerische Nationalbank;2008;AR-DE
Schweizerische Nationalbank;2009;AR-DE
Schweizerische Nationalbank;2010;AR-DE
Schweizerische Nationalbank;2011;AR-DE
Schweizerische Nationalbank;2012;AR-DE
Schweizerische Nationalbank;2013;AR-DE
Schweizerische Nationalbank;2014;AR-DE
Schweizerische Nationalbank;2015;AR-DE
Schweizerische Nationalbank;2016;AR-DE
Schweizerische Nationalbank;2017;AR-DE
Schweizerische Nationalbank;2018;AR-DE
SGS;2001;AR-EN
SGS;2002;AR-EN
SGS;2003;AR-EN
SGS;2004;AR-EN
SGS;2005;AR-EN
SGS;2006;AR-EN
SGS;2007;AR-EN
SGS;2008;AR-EN
SGS;2009;AR-EN
SGS;2010;AR-EN
SGS;2011;AR-EN
SGS;2012;AR-EN
SGS;2013;AR-EN
SGS;2014;AR-EN
SGS;2015;AR-EN
SGS;2016;AR-EN
SGS;2017;AR-EN
SIX SIS;2009;AR-EN
SIX SIS;2010;AR-EN
SIX SIS;2011;AR-EN
SIX SIS;2012;AR-EN
SIX SIS;2013;AR-EN
SIX SIS;2014;AR-EN
SIX SIS;2015;AR-EN
SIX SIS;2016;AR-EN
Sonova;2004;AR-DE
Sonova;2005;AR-DE
Sonova;2006;AR-DE
Sonova;2007;AR-DE
Sonova;2008;AR-DE
Sonova;2009;AR-DE
Sonova;2010;AR-DE
Sonova;2011;AR-DE
Sonova;2012;AR-DE
Sonova;2013;AR-DE
Sonova;2014;AR-DE
Sonova;2015;AR-DE
Sonova;2016;AR-DE
Sonova;2017;AR-DE
Sonova;2018;AR-EN
Sonova;2018;CR-EN
Sonova;2018;SR-EN
Swatch;2004;FB-DE
Swatch;2004;FB-EN
Swatch;2004;GB-DE
Swatch;2004;GB-EN
Swatch;2005;FB-DE
Swatch;2005;FB-EN
Swatch;2005;GB-DE
Swatch;2005;GB-EN
Swatch;2006;FB-DE
Swatch;2006;FB-EN
Swatch;2006;GB-DE
Swatch;2006;GB-EN
Swatch;2007;FB-DE
Swatch;2007;FB-EN
Swatch;2007;GB-DE
Swatch;2007;GB-EN
Swatch;2008;FB-DE
Swatch;2008;FB-EN
Swatch;2008;GB-DE
Swatch;2008;GB-EN
Swatch;2009;FB-DE
Swatch;2009;FB-EN
Swatch;2009;GB-DE
Swatch;2009;GB-EN
Swatch;2010;FB-DE
Swatch;2010;FB-EN
Swatch;2010;GB-DE
Swatch;2010;GB-EN
Swatch;2011;FB-DE
Swatch;2011;FB-EN
Swatch;2011;GB-DE
Swatch;2011;GB-EN
Swatch;2012;FB-DE
Swatch;2012;FB-EN
Swatch;2012;GB-DE
Swatch;2012;GB-EN
Swatch;2013;FB-DE
Swatch;2013;FB-EN
Swatch;2013;GB-DE
Swatch;2013;GB-EN
Swatch;2014;FB-DE
Swatch;2014;FB-EN
Swatch;2014;GB-DE
Swatch;2014;GB-EN
Swatch;2015;FB-DE
Swatch;2015;FB-EN
Swatch;2015;GB-DE
Swatch;2015;GB-EN
Swatch;2016;FB-DE
Swatch;2016;FB-EN
Swatch;2016;GB-DE
Swatch;2016;GB-EN
Swatch;2017;GB-DE
Swatch;2017;GB-EN
Swatch;2018;GB-DE
Swatch;2018;GB-EN
Swiss Life;1998;AR-EN
Swiss Life;1999;AR-EN
Swiss Life;2000;AR-DE
Swiss Life;2000;AR-EN
Swiss Life;2001;AR-DE
Swiss Life;2001;AR-EN
Swiss Life;2002;AR-EN
Swiss Life;2002;FR-EN
Swiss Life;2003;AR-DE
Swiss Life;2003;AR-EN
Swiss Life;2004;AR-DE
Swiss Life;2004;AR-EN
Swiss Life;2005;AR-DE
Swiss Life;2005;AR-EN
Swiss Life;2006;AR-DE
Swiss Life;2006;AR-EN
Swiss Life;2007;AR-DE
Swiss Life;2007;AR-EN
Swiss Life;2007;AR-FR
Swiss Life;2008;AR-DE
Swiss Life;2008;AR-EN
Swiss Life;2008;AR-FR
Swiss Life;2008;FR-EN
Swiss Life;2009;AR-DE
Swiss Life;2009;AR-EN
Swiss Life;2009;AR-FR
Swiss Life;2009;FR-DE
Swiss Life;2009;FR-EN
Swiss Life;2010;AR-DE
Swiss Life;2010;AR-EN
Swiss Life;2010;AR-FR
Swiss Life;2010;FR-DE
Swiss Life;2010;FR-EN
Swiss Life;2011;AR-DE
Swiss Life;2011;AR-EN
